category,orders,total_revenue,avg_price,avg_review_score
beleza_saude,8647,1234230.11,130.17,4.19
relogios_presentes,5495,1166427.74,198.88,4.07
cama_mesa_banho,9272,1031836.60,93.46,3.92
esporte_lazer,7530,957262.35,113.21,4.17
informatica_acessorios,6530,891682.66,116.26,3.99
moveis_decoracao,6307,713794.42,87.15,3.96
utilidades_domesticas,5743,617412.89,90.68,4.11
cool_stuff,3559,610763.88,164.10,4.20
automotivo,3810,579649.25,139.74,4.12
ferramentas_jardim,3448,471637.27,110.17,4.08
brinquedos,3804,471376.18,116.88,4.21
bebes,2809,400511.73,134.17,4.08
perfumaria,3086,390720.76,116.63,4.22
telefonia,4093,309879.22,69.93,3.99
moveis_escritorio,1254,268951.18,160.57,3.52
