customer_state,orders,customers,revenue,avg_order_value,avg_review_score
SP,40501,40501,5082051.61,109.09,4.18
RJ,12350,12350,1762226.87,124.26,3.88
MG,11354,11354,1554902.67,120.12,4.12
RS,5345,5345,730192.42,118.67,4.09
PR,4923,4923,667371.89,117.93,4.15
SC,3546,3546,507716.47,123.77,4.05
BA,3256,3256,494092.48,133.86,3.86
DF,2080,2080,297349.96,125.52,4.06
GO,1957,1957,284193.86,124.37,4.04
ES,1995,1995,269026.82,120.53,4.02
PE,1593,1593,252110.20,143.98,4.02
CE,1279,1279,220067.38,154.11,3.88
PA,946,946,174641.56,165.22,3.85
MT,886,886,152419.42,146.70,4.01
MA,717,717,117086.28,145.99,3.76
MS,701,701,115600.85,142.02,4.06
PB,517,517,112676.72,191.95,4.04
PI,476,476,84781.00,161.80,3.96
RN,474,474,82118.98,157.32,4.11
AL,397,397,79039.69,183.81,3.83
SE,335,335,56574.19,150.86,3.89
TO,274,274,48402.51,156.14,4.16
RO,243,243,45682.76,167.34,4.08
AM,145,145,22211.74,135.44,4.09
AC,80,80,15930.97,175.07,4.16
AP,67,67,13374.81,165.12,4.26
RR,41,41,7057.47,153.42,3.89
